Game,Number,As of,Business model,Release date,Publisher(s),Ref.
PUBG: Battlegrounds,"1,770 million downloads[a]",December 2022,Free-to-play,"December 20, 2017",Krafton / Tencent,[b]
Crossfire,"1,000 million",February 2020,Free-to-play,"May 3, 2007",Smilegate / Tencent,[5]
Dungeon Fighter Online,850 million,December 2021,Free-to-play,August 2005,Nexon / Tencent,[6][7]
Minecraft,738 million[a][c],April 2021,Pay-to-play / free-to-play[c],"November 18, 2011",Mojang / NetEase[c],[8]
QQ Speed / GKART / Speed Drifters,700 million[a],January 2020,Free-to-play,"January 23, 2008",Tencent / Garena,[9]
Pac-Man Doodle,505 million peak daily players[d][a],May 2010,Free-to-play,"May 21, 2010",Bandai Namco / Google,[10][11]
Candy Crush Saga,500 million downloads[a],June 2014,Free-to-play,"April 12, 2012",King,[13]
Among Us,500 million peak monthly players[e],November 2020,Free-to-play / pay-to-play[f],"June 15, 2018",Innersloth,[14]
Microsoft Solitaire,400 million,July 2015,Free-to-play,"May 22, 1990",Microsoft,[15]
Mini World,400 million[a],April 2020,Free-to-play,"December 26, 2015",Miniwan,[16][better source needed]
Crazyracing Kartrider,380 million registered accounts,March 2020,Free-to-play,"June 1, 2004",Nexon,[17]
Fortnite,350 million registered accounts[a],May 2020,Free-to-play,"September 26, 2017",Epic Games,[18]
Fantasy Westward Journey,310 million registered accounts,April 2015,Free-to-play,December 2001,NetEase,[19]
RuneScape,280 million registered accounts,April 2020,Subscription / free-to-play,"January 4, 2001",Jagex,[20]
Rules of Survival,230 million[a],October 2018,Free-to-play,"November 17, 2017",NetEase,[21]
Roblox,202 million peak monthly players,April 2021,Free-to-play,"August 27, 2006",Roblox Corporation,[22]
Club Penguin,200 million registered accounts,July 2013,Free-to-play,October 2005,Disney Interactive Studios,[23]
Dragon Nest,200 million,March 2013,Free-to-play,March 2010,Nexon,[24]
MapleStory,180 million registered accounts,March 2020,Free-to-play,"April 29, 2003",Nexon,[17]
Tetris,177 million[a],September 2008,Pay-to-play / free-to-play,"June 6, 1984",Various,[25]
Animal Jam,160 million,October 2017,Free-to-play,September 2010,WildWorks,[26]
World of Tanks,160 million,April 2020,Free-to-play,"August 12, 2010",Wargaming,[27]
Grand Theft Auto V,140 million,February 2021,Pay-to-play,"October 1, 2013",Rockstar Games,[28]
Apex Legends,130 million,February 2022,Free-to-play,"February 4, 2019",Electronic Arts,[29]
The Legend of Mir 3,120 million registered accounts,February 2012,Subscription,October 2004,WeMade Entertainment,[30]
League of Legends,111 million peak monthly players,August 2018,Free-to-play,"October 27, 2009",Riot Games,[31]
Transformice,100 million registered accounts,April 2019,Free-to-play,"May 1, 2010",Atelier 801,[32]
World of Warcraft,100 million registered accounts,January 2014,Subscription / pay-to-play[g],"November 23, 2004",Blizzard Entertainment,[33]
CityVille,100 million[a],October 2011,Free-to-play,"December 2, 2010",Zynga,[34]
Happy Farm,100 million[a],August 2013,Free-to-play,November 2008,5 Minutes,[35]
Scions of Fate,100 million registered accounts,April 2018,Free-to-play,"November 25, 2004",KRG Soft,[36]
The Sims Social,100 million,October 2011,Free-to-play,"August 9, 2011",Electronic Arts,[34]
Zhengtu,100 million registered accounts,April 2018,Free-to-play,2007,Zhengtu Network,[37]
Microsoft Solitaire Collection,100 million,August 2016,Free-to-play,"July 29, 2015",Microsoft,[38]
Hearthstone,100 million,November 2018,Free-to-play,"March 11, 2014",Blizzard Entertainment,[39]
Call of Duty: Warzone,100 million[h],April 2021,Free-to-play,"March 20, 2020",Activision Blizzard,[40]
FarmVille,83 million peak monthly players[a],March 2010,Free-to-play,"June 19, 2009",Zynga,[41]
Westward Journey Online II,83 million registered accounts,November 2006,Free-to-play,2001,NetEase,[42]
Ragnarok Online,80 million registered accounts,April 2018,Subscription[i],"August 31, 2002",Gravity,[30]
Moshi Monsters,80 million registered accounts,July 2014,Free-to-play,"April 16, 2008",Mind Candy,[43]
Yu-Gi-Oh! Duel Links,80 million[a],November 2018,Free-to-play,"November 17, 2016",Konami,[44]
Dragon Oath,75 million registered accounts,February 2010,Free-to-play,2007,KRG Soft,[45]
Rocket League,75 million,"July 7, 2020",Free-to-play[j],"July 7, 2015",Psyonix,[46]
Dofus,62 million registered accounts,April 2018,Subscription[i],September 2004,Ankama,[30]
Adopt Me!,60 million peak monthly players,May 2021,Free-to-play,"July 14, 2017",Uplift Games,[47]
Flyff,60 million registered accounts,April 2018,Free-to-play,"August 16, 2004",Gala Lab,[48]
Fall Guys,50 million,July 2022,Free-to-play[k],"August 4, 2020",Epic Games,[49]
Overwatch,50 million,November 2019,Pay-to-play,"May 24, 2016",Blizzard Entertainment,[50]
Lineage,50 million,March 2007,Subscription,"September 3, 1998",NCSoft,[51]
Perfect World,50 million registered accounts,April 2018,Free-to-play,July 2005,Beijing Perfect World,[30]
Team Fortress 2,50 million owners on Steam[l],July 2018,Free-to-play,"October 10, 2007",Valve,[52]
Tom Clancy's Rainbow Six Siege,50 million registered accounts,September 2019,Pay-to-play,"December 1, 2015",Ubisoft,[53]
Warframe,50 million registered accounts,March 2019,Free-to-play,"March 25, 2013",Digital Extremes,[54]
Counter-Strike: Global Offensive,46 million owners on Steam[l],July 2018,Free-to-play[m],"August 21, 2012",Valve,[52]
FarmVille 2,43 million peak monthly players[a],December 2012,Free-to-play,September 2012,Zynga,[55]
The Sims 4,36 million,May 2021,Free-to-play[n],"September 2, 2014",Electronic Arts,[56]
Drakensang Online,35 million registered accounts,April 2018,Free-to-play,August 2011,Bigpoint,[37]
FIFA 20,35 million,November 2020,Pay-to-play,"September 27, 2019",EA Sports,[57]
Teamfight Tactics,33 million monthly players,September 2019,Free-to-play,"June 26, 2019",Riot Games,[58]
Evony,33 million registered accounts,October 2016,Free-to-play,"May 6, 2009",Evony LLC,[59]
FIFA 18,32.5 million[o],December 2018,Pay-to-play,"September 29, 2017",EA Sports,[60]
FIFA 21,31 million,August 2021,Pay-to-play,"October 9, 2020",EA Sports,[61]
Pac-Man,30 million peak monthly US players,1982,Pay-to-play,"May 21, 1980",Namco,[62]
Black Desert Online,30 million[a],January 2020,Pay-to-play,"July 14, 2015",Kakao Games,[63]
FIFA 17,30 million[o],December 2018,Pay-to-play,"September 27, 2016",EA Sports,[60]
Sea of Thieves,30 million,June 2022,Pay-to-play,"March 20, 2018",Rare,[64]
Metal Slug Defense,29 million[a],February 2016,Free-to-play,"May 1, 2014",SNK,[65]
FIFA 16,28.3 million[o],December 2018,Pay-to-play,"September 22, 2015",EA Sports,[60]
TERA,28 million,2018,Free-to-play[p],"January 25, 2011",Bluehole,[66]
Unturned,27 million owners on Steam[l],July 2018,Free-to-play,"July 7, 2017",Smartly Dressed Games,[52]
GetAmped,26 million registered accounts,October 2008,Free-to-play,"April 26, 2002",CyberStep,[67]
Overwatch 2,25 million,October 2022,Free-to-play,"October 4, 2022",Blizzard Entertainment,[68]
Street Fighter II,25 million US players,1994,Pay-to-play,"February 6, 1991",Capcom,[69]
